City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.79,-50.01,60.96,94,100,10.87,light rain
1,Busselton,AU,-33.65,115.33,48.52,64,34,6.31,scattered clouds
2,Porto Novo,BJ,6.50,2.60,82.22,59,44,10.16,scattered clouds
3,Rikitea,PF,-23.12,-134.97,73.56,75,77,16.11,broken clouds
4,Letlhakane,BW,-21.42,25.58,74.43,19,2,6.22,clear sky
5,Vaini,TO,-21.20,-175.20,71.76,83,40,10.36,scattered clouds
6,Japura,ID,-0.32,102.35,75.45,93,47,2.95,scattered clouds
7,Port Alfred,ZA,-33.59,26.89,62.19,58,0,3.0,clear sky
8,Ushuaia,AR,-54.80,-68.30,37.06,81,75,4.61,broken clouds
9,Kyshtovka,RU,56.55,76.63,45.03,96,100,8.86,light rain
10,Puerto Ayora,EC,-0.74,-90.35,71.56,93,73,3.0,broken clouds
11,Ust-Tsilma,RU,65.44,52.15,61.65,57,100,6.08,overcast clouds
12,Kruisfontein,ZA,-34.00,24.73,66.88,51,38,5.14,scattered clouds
13,Punta Arenas,CL,-53.15,-70.92,37.51,75,0,12.66,clear sky
14,Hamilton,US,39.18,-84.53,78.44,70,40,7.0,scattered clouds
15,Kirando,TZ,-7.42,30.60,76.55,46,5,0.81,clear sky
16,Mataura,NZ,-46.19,168.86,46.13,98,100,2.77,overcast clouds
17,Butaritari,KI,3.07,172.79,81.16,66,100,14.99,overcast clouds
18,Skibbereen,IE,51.55,-9.27,62.11,60,94,14.47,light rain
19,Jamestown,US,42.10,-79.24,73.02,64,40,4.61,scattered clouds
20,Chokurdakh,RU,70.63,147.92,46.67,70,100,11.21,overcast clouds
21,Labuhan,ID,-6.88,112.21,77.56,78,11,8.01,few clouds
22,Hobart,AU,-42.88,147.33,57.25,63,75,8.05,broken clouds
23,Naze,JP,28.37,129.48,81.52,83,100,17.81,light rain
24,Oktyabrskiy,RU,54.48,53.47,65.43,59,8,7.0,clear sky
25,Barrow,US,71.29,-156.79,37.42,93,100,14.97,mist
26,Nikolskoye,RU,59.70,30.79,82.8,46,51,4.21,broken clouds
27,Sao Filipe,CV,14.90,-24.50,79.9,74,88,16.37,overcast clouds
28,Goderich,CA,43.75,-81.72,75.9,78,11,5.75,few clouds
29,Khatanga,RU,71.97,102.50,45.91,88,100,3.83,overcast clouds
30,Hermanus,ZA,-34.42,19.23,53.8,83,60,18.63,light rain
31,Matara,LK,5.95,80.54,77.95,87,92,7.96,overcast clouds
32,Deputatskiy,RU,69.30,139.90,39.69,92,100,2.84,overcast clouds
33,Port Moresby,PG,-9.44,147.18,76.42,69,40,17.27,scattered clouds
34,Sungairaya,ID,0.70,108.90,79.68,84,80,4.68,broken clouds
35,Arona,ES,28.10,-16.68,75.72,58,40,31.07,scattered clouds
36,Harper,LR,4.38,-7.72,77.68,70,98,8.93,overcast clouds
37,Talikota,IN,16.48,76.32,77.23,76,89,17.18,overcast clouds
38,Arraial Do Cabo,BR,-22.97,-42.03,82.36,54,0,11.5,clear sky
39,Valente,BR,-11.41,-39.46,85.68,31,20,10.71,few clouds
40,Meulaboh,ID,4.14,96.13,78.33,83,86,1.97,moderate rain
41,Aklavik,CA,68.22,-135.01,51.8,93,75,0.0,fog
42,Gornopravdinsk,RU,60.05,69.90,47.01,80,86,5.53,overcast clouds
43,Kodiak,US,57.79,-152.41,53.11,87,100,5.75,overcast clouds
44,Tongliao,CN,43.61,122.27,70.81,80,64,15.26,broken clouds
45,Rocha,UY,-34.48,-54.33,62.11,63,100,10.71,overcast clouds
46,Ponta Delgada,PT,37.73,-25.67,72.32,64,20,16.11,few clouds
47,Cape Town,ZA,-33.93,18.42,59.38,86,40,17.27,scattered clouds
48,Leningradskiy,RU,69.38,178.42,31.89,89,0,6.26,clear sky
49,Trinidad,BO,-14.83,-64.90,84.18,74,40,13.8,scattered clouds
50,Bredasdorp,ZA,-34.53,20.04,55.24,84,23,14.54,light rain
51,Sao Joao Da Barra,BR,-21.64,-41.05,82.49,62,3,24.34,clear sky
52,Hilo,US,19.73,-155.09,79.29,84,100,5.75,overcast clouds
53,Marquette,US,46.53,-87.63,75.34,63,100,3.38,overcast clouds
54,Poum,NC,-20.23,164.02,65.35,74,100,7.09,overcast clouds
55,Avarua,CK,-21.21,-159.78,68.05,73,40,10.36,scattered clouds
56,Dikson,RU,73.51,80.55,39.85,90,98,16.75,overcast clouds
57,Puerto Palomas,MX,31.77,-107.62,76.75,57,84,16.28,light rain
58,High Rock,BS,26.62,-78.28,87.82,69,77,13.78,broken clouds
59,Tahe,CN,52.33,124.73,54.97,98,100,4.14,overcast clouds
60,Casselman,CA,45.32,-75.08,79.32,64,99,8.05,overcast clouds
61,Hammerfest,NO,70.66,23.68,50.45,93,75,17.27,broken clouds
62,Thinadhoo,MV,0.53,72.93,82.67,75,51,11.03,broken clouds
63,El Bagre,CO,7.59,-74.81,91.49,50,7,1.74,clear sky
64,Tura,IN,25.52,90.22,79.59,74,31,2.73,scattered clouds
65,Talnakh,RU,69.49,88.40,56.21,53,36,22.17,scattered clouds
66,Teahupoo,PF,-17.83,-149.27,64.36,78,98,3.76,overcast clouds
67,Cayenne,GF,4.93,-52.33,89.64,51,75,4.61,broken clouds
68,George,ZA,-33.96,22.46,60.35,72,0,16.11,clear sky
69,Lebu,CL,-37.62,-73.65,48.25,73,100,12.73,overcast clouds
70,Ribeira Grande,PT,38.52,-28.70,75.6,57,75,14.97,broken clouds
