City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-08-12 22:35:58,3.0707,172.7902,81.88,77,50,14.05
1,Albany,US,2022-08-12 22:35:58,42.6001,-73.9662,75.85,40,3,8.43
2,Saint-Augustin,CA,2022-08-12 22:35:59,51.226,-58.6502,64.65,91,77,12.39
3,Kapaa,US,2022-08-12 22:32:59,22.0752,-159.319,83.19,75,20,12.66
4,Bilibino,RU,2022-08-12 22:31:23,68.0546,166.4372,48.36,79,99,2.82
5,Ushuaia,AR,2022-08-12 22:31:47,-54.8,-68.3,35.26,75,75,5.75
6,Berdigestyakh,RU,2022-08-12 22:33:12,62.0989,126.6992,60.48,93,100,5.64
7,Boa Vista,BR,2022-08-12 22:34:03,2.8197,-60.6733,80.58,69,75,17.27
8,Souillac,MU,2022-08-12 22:36:00,-20.5167,57.5167,66.58,77,40,11.5
9,Melilla,ES,2022-08-12 22:36:01,35.2937,-2.9383,82.78,83,0,5.75
10,Hithadhoo,MV,2022-08-12 22:36:01,-0.6,73.0833,81.88,76,63,11.61
11,Jamestown,US,2022-08-12 22:36:02,42.097,-79.2353,74.52,27,0,5.99
12,Ixtapa,MX,2022-08-12 22:36:02,20.7,-105.2,87.22,70,75,10.36
13,Nikolskoye,RU,2022-08-12 22:31:45,59.7035,30.7861,64.29,90,10,4.25
14,Pisco,PE,2022-08-12 22:36:03,-13.7,-76.2167,64.45,77,0,5.75
15,Oranjestad,AW,2022-08-12 22:35:11,12.524,-70.027,85.95,74,20,21.85
16,Tulun,RU,2022-08-12 22:36:04,54.5611,100.5792,55.35,92,39,1.52
17,Port Alfred,ZA,2022-08-12 22:31:28,-33.5906,26.891,54.18,87,96,5.01
18,Port Elizabeth,ZA,2022-08-12 22:36:04,-33.918,25.5701,53.31,84,100,5.01
19,Nabire,ID,2022-08-12 22:36:05,-3.3667,135.4833,76.19,92,99,2.26
20,Punta Arenas,CL,2022-08-12 22:32:18,-53.15,-70.9167,35.71,87,100,14.97
21,Okha,RU,2022-08-12 22:36:06,53.5739,142.9478,54.36,97,100,12.62
22,Shimoda,JP,2022-08-12 22:36:06,34.6667,138.95,78.1,88,75,16.49
23,Lebu,CL,2022-08-12 22:36:07,-37.6167,-73.65,51.76,92,100,18.5
24,Leningradskiy,RU,2022-08-12 22:36:07,69.3833,178.4167,35.49,80,100,15.86
25,East London,ZA,2022-08-12 22:33:47,-33.0153,27.9116,59.54,71,92,12.08
26,Kayankulam,IN,2022-08-12 22:36:08,9.1833,76.5,77.97,90,98,6.64
27,Dingle,PH,2022-08-12 22:36:08,10.9995,122.6711,78.28,88,99,1.81
28,Mataura,NZ,2022-08-12 22:31:50,-46.1927,168.8643,44.47,73,94,3.13
29,Tuktoyaktuk,CA,2022-08-12 22:36:09,69.4541,-133.0374,69.8,46,40,12.66
30,Saint-Philippe,RE,2022-08-12 22:36:09,-21.3585,55.7679,64.22,77,68,14.85
31,Hobart,AU,2022-08-12 22:36:10,-42.8794,147.3294,50.25,96,75,6.91
32,Tasiilaq,GL,2022-08-12 22:36:10,65.6145,-37.6368,35.76,69,15,3.27
33,Atuona,PF,2022-08-12 22:36:11,-9.8,-139.0333,76.98,70,46,23.26
34,Santa Marta,CO,2022-08-12 22:36:11,11.2408,-74.199,80.65,89,100,6.91
35,Victoria,HK,2022-08-12 22:35:55,22.2855,114.1577,80.33,92,74,1.99
36,Bluff,NZ,2022-08-12 22:36:12,-46.6,168.3333,44.8,75,53,8.88
37,Norman Wells,CA,2022-08-12 22:36:12,65.282,-126.8329,77.04,29,20,3.44
38,Omboue,GA,2022-08-12 22:36:13,-1.5746,9.2618,72.72,86,100,6.22
39,Rikitea,PF,2022-08-12 22:36:13,-23.1203,-134.9692,73.26,75,100,23.71
40,Geraldton,AU,2022-08-12 22:31:22,-28.7667,114.6,50.41,53,4,18.41
41,Vaini,TO,2022-08-12 22:34:12,-21.2,-175.2,75.36,78,20,11.5
42,Busselton,AU,2022-08-12 22:36:14,-33.65,115.3333,61.0,51,100,24.54
43,Barrow,US,2022-08-12 22:36:15,71.2906,-156.7887,46.42,93,100,17.27
44,Lasa,IT,2022-08-12 22:37:16,46.6166,10.7002,50.68,88,17,1.81
45,Bethel,US,2022-08-12 22:37:16,41.3712,-73.414,81.45,38,0,12.66
46,New Norfolk,AU,2022-08-12 22:37:17,-42.7826,147.0587,49.91,89,64,1.45
47,Taltal,CL,2022-08-12 22:37:17,-25.4,-70.4833,57.96,76,57,4.63
48,Cayenne,GF,2022-08-12 22:32:24,4.9333,-52.3333,82.44,1,0,6.91
49,Yar-Sale,RU,2022-08-12 22:37:18,66.8333,70.8333,51.24,94,83,11.95
50,Puerto Ayora,EC,2022-08-12 22:37:18,-0.7393,-90.3518,75.16,96,100,5.99
51,Margate,GB,2022-08-12 22:37:19,51.3813,1.3862,68.88,89,0,3.0
52,Padang,ID,2022-08-12 22:37:19,-0.9492,100.3543,75.25,90,98,3.65
53,Isangel,VU,2022-08-12 22:37:20,-19.55,169.2667,75.31,69,100,5.75
54,Luderitz,NA,2022-08-12 22:37:20,-26.6481,15.1594,56.5,85,11,8.3
55,Carnarvon,AU,2022-08-12 22:37:20,-24.8667,113.6333,67.93,79,94,11.74
56,Cap Malheureux,MU,2022-08-12 22:37:21,-19.9842,57.6142,69.48,60,86,5.99
57,Egvekinot,RU,2022-08-12 22:37:21,66.3167,-179.1667,48.0,82,100,6.08
58,Bereda,ES,2022-08-12 22:37:22,43.2686,-7.5406,65.57,100,60,0.98
59,Puerto Madryn,AR,2022-08-12 22:37:22,-42.7692,-65.0385,55.2,54,96,9.82
60,Hilo,US,2022-08-12 22:35:52,19.7297,-155.09,92.28,75,20,10.36
